163-Africa 
187-Africa 
157-Africa 
159-Ivory Coast 
270-Nigeria
194-Africa 
203-Africa 
211-Africa 
162-Africa 
E184-Ghana 
E88-Ghana
225-Africa 
226-Africa 
271-Nigeria 
E185-Ghana
371-Nigeria 
374-Nigeria 
373-Nigeria 
E201-Ghana
E89-Ghana 
E90-Ghana 
377-Nigeria 
E233-Egypt
E139-Senegal 
E140-Senegal 
E152-Nigeria
E150-Nigeria 
E246-Nigeria
E155-Nigeria
E156-Nigeria 
E562-Ivory Coast
E169-Ghana 
El70-Ghana 
E171-Ghana
E182-Ghana 
E183-Ghana 
E202-Ghana
E228-Egypt 
E236-Egypt
E316-Rhodesia
E543-Ivory Coast 
E563-Ivory Coast
E687-Tanzania
E96-Sri Lanka 
El00-Sri Lanka 
E124-Yemen 
E437-Sri Lanka
E270-Pakistan
E271-Pakistan 
E506-Saudi Arabia 
E672-India
E359-Yemen 
E671-India
E639-India
E647-India 
E649-India
E651-India
E652-India
E792-Iran
E653-India
E675-India
121-Taiwan
127-Taiwan 
355-Fiji Islands 
161-Philippines
167-Japan 
E7-Taiwan 
493-Philippines
190-Taiwan 
E158-Thailand 
M33-Indonesia
378-Philipp.
379-Philipp.
380-Philipp.
381-Philipp. 
E209-Philippines
388-Philippines
490-Philippines 
E290-Taiwan
E10-Taiwan
E11-Taiwan 
E389-Fiji Islands
E12-Taiwan
E14-Taiwan 
M23-Malaysia
E23-Korea
E74-Fiji Islands
E159-Thailand 
El60-Thailand
E215-Philippines
E221-Australia 
E484-Australia
E590-Philippines 
E593-Philippines
M38-Philippines
E487-Bermuda 
63-Tenn.,USA
117-Guatemala
E301-Puerto Rico
E337-Argentina
E586-Argentina
103-Belgium
188-Belgium 
