Species        ,csome_low,csome_high,N  ,Isolate  ,Location      ,Country     ,Reproduction,Reference                                                                                                                                                                                                                                                                                                                  
M. javanica    ,41       ,43        ,1  ,Gord13   ,Upington      ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. javanica    ,43       ,45        ,1  ,Grob3    ,Grobersdal    ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. javanica    ,41       ,43        ,1  ,Grob7    ,Grobersdal    ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. javanica    ,41       ,43        ,1  ,Grob12   ,Grobersdal    ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. javanica    ,41       ,43        ,1  ,PShep16  ,Urnzumbe      ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. javanica    ,41       ,44        ,1  ,Watbo1   ,Waterval Boven,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. kikuyensis  ,7        ,7         ,1  ,         ,              ,            ,amphimixis  ,"Triantaphyllou AC: Cytogenetic status of Meloidogyne kikuyensis in relation to other root-knot nematodes. Revue de Nematologie 1990, 13:175–180."                                                                                                                                                                         
M. megatyla    ,18       ,          ,2  ,         ,              ,            ,amphimixis  ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. microcephala,36       ,38        ,3  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. microtyla   ,18       ,19        ,1  ,         ,              ,            ,amphimixis  ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. naasi       ,18       ,          ,1  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. nataliei    ,4        ,4         ,1  ,         ,              ,            ,amphimixis  ,"Triantaphyllou AC: Gametogenesis and the Chromosomes of Meloidogyne nataliei: Not Typical of Other Root-knot Nematodes. J Nematol 1985, 17:1–5."                                                                                                                                                                          
M. orvzae      ,51       ,55        ,2  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. ottersoni   ,18       ,          ,1  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. partityla   ,40       ,42        ,1  ,Nels7    ,Mataffin      ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. platani     ,42       ,44        ,1  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. querciana   ,30       ,32        ,1  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. subarctica  ,18       ,          ,1  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
