Species        ,csome_low,csome_high,N  ,Isolate  ,Location      ,Country     ,Reproduction,Reference                                                                                                                                                                                                                                                                                                                  
M. chitwoodi   ,28       ,34        ,1  ,Mac1     ,Ugie          ,SouthAfrica ,automixis   ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. cruciani    ,42       ,44        ,1  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. enterolobii ,46       ,          ,1  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. enterolobii ,44       ,45        ,1  ,E180     ,              ,Puerto Rico ,apomixis    ,"Rammah A, Hirschmann H: Meloidogyne mayaguensis n. sp. (Meloidogynidae), a Root-knot Nematode from Puerto Rico. J Nematol 1988, 20:58–69."                                                                                                                                                                                
M. exigua      ,18       ,          ,6  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. floridensis ,36       ,36        ,1  ,MSp      ,Florida       ,USA         ,automixis   ,"Handoo ZA, Nyczepir AP, Esmenjaud D, van der Beek JG, Castagnone-Sereno P, Carta LK, Skantar AM, Higgins JA: Morphological, Molecular, and Differential-Host Characterization of Meloidogyne floridensis n. sp. (Nematoda: Meloidogynidae), a Root-Knot Nematode Parasitizing Peach in Florida. J Nematol 2004, 36:20–35."
M. graminicola ,18       ,          ,1  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. graminis    ,18       ,          ,10 ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. hapla A     ,13       ,17        ,48 ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. hapla A     ,28       ,          ,1  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. hapla A     ,34       ,          ,2  ,         ,              ,            ,automixis   ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. hapla A     ,26       ,32        ,1  ,Clz2     ,Calitzdorp    ,South Africa,automixis   ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. hapla A     ,28       ,32        ,1  ,Gord12   ,Kakamas       ,South Africa,automixis   ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. hapla A     ,30       ,34        ,1  ,Hart2    ,Tadcaster     ,South Africa,automixis   ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. hapla A     ,30       ,34        ,1  ,Jhb4b    ,Sandton       ,South Africa,automixis   ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
